codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201409177063403,INCIDENTE,TRÁFEGO AÉREO,SANTA CRUZ DO SUL,RS,SSSC,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,CIRCUITO DE TRÁFEGO,VOO DE INSTRUÇÃO,NaN,0,2014-09-17 15:45:00
201508166404878,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,NOVA ESPERANÇA,PR,NaN,HELICÓPTERO,PISTÃO,1.0,BRASIL,PARTICULAR,NAVEGAÇÃO A BAIXA ALTURA,VOO PRIVADO,NaN,0,2015-08-16 16:30:00
201804181444192,ACIDENTE,FALHA DO MOTOR EM VOO,NOVA ESPERANÇA,PR,NaN,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,ADMINISTRAÇÃO DIRETA,CRUZEIRO,OPERAÇÃO POLICIAL,NaN,0,2018-04-17 14:35:00
201003107836300,INCIDENTE GRAVE,COM TREM DE POUSO,SANTA MARIA,RS,SBSM,AVIÃO,PISTÃO,1.0,BRASIL,ADMINISTRAÇÃO DIRETA,POUSO,OPERAÇÃO POLICIAL,NaN,2,2010-03-10 17:20:00
201703202100131,INCIDENTE,FALHA DO MOTOR EM VOO,SANTA MARIA,RS,SBSM,HELICÓPTERO,TURBOEIXO,2.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2017-03-19 15:15:00
201302138871304,INCIDENTE,PERDA DE CONTROLE NO SOLO,SANTA MARIA,RS,SBSM,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,DECOLAGEM,VOO DE INSTRUÇÃO,NaN,0,2013-02-13 15:45:00
201203292915127,INCIDENTE,ESTOURO DE PNEU,SANTA MARIA,RS,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,CORRIDA APÓS POUSO,VOO REGULAR,NaN,0,2012-03-29 20:33:00
201109125153152,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,SANTA MARIA,RS,SBSM,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,POUSO,VOO DE INSTRUÇÃO,NaN,5,2011-09-12 15:15:00
201111255473734,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,SANTA MARIA,RS,SBSM,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,ARREMETIDA NO SOLO,VOO DE INSTRUÇÃO,NaN,0,2011-11-25 22:50:00
201203166619089,INCIDENTE,ESTOURO DE PNEU,SANTA MARIA,RS,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,0,2012-03-16 12:25:00
201509242097322,ACIDENTE,FALHA DO MOTOR EM VOO,SANTA ROSA,RS,SSZR,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,CIRCUITO DE TRÁFEGO,VOO PRIVADO,NaN,0,2015-09-24 17:00:00
201612051753253,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,SANTA VITÓRIA DO PALMAR,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,1.0,0,2016-12-04 12:00:00
201212104459096,ACIDENTE,PERDA DE CONTROLE EM VOO,SANTA VITÓRIA DO PALMAR,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2012-12-10 10:30:00
201610241447426,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,SANTA VITÓRIA DO PALMAR,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2016-10-18 18:00:00
200801171686715,INCIDENTE,FALHA DO MOTOR EM VOO,SANTA VITÓRIA DO PALMAR,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2008-01-17 14:30:00
201612201548168,ACIDENTE,FALHA DO MOTOR EM VOO,SANTA VITÓRIA DO PALMAR,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2016-12-15 18:40:00
