codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
200806195385394,INCIDENTE,FALHA DO MOTOR EM VOO,SALVADOR,BA,NaN,AVIÃO,JATO,4.0,BRASIL,NÃO REGULAR,DESCIDA,VOO REGULAR,NaN,0,2008-06-19 09:37:00
200907014501231,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SALVADOR,BA,SBSV,AVIÃO,JATO,2.0,BRASIL,REGULAR,DECOLAGEM,VOO REGULAR,NaN,0,2009-07-01 11:00:00
201711131919144,INCIDENTE,FALHA DO MOTOR EM VOO,SALVADOR,BA,SBSV,AVIÃO,TURBOÉLICE,2.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,NaN,0,2017-11-09 14:15:00
200805289628202,INCIDENTE,COLISÃO DE VEÍCULO COM AERONAVE,SALVADOR,BA,SBSV,AVIÃO,JATO,2.0,BRASIL,REGULAR,OPERAÇÃO DE SOLO,VOO REGULAR,NaN,0,2008-05-28 16:00:00
200908279558215,INCIDENTE,FALHA DO MOTOR EM VOO,SALVADOR,BA,SBSV,AVIÃO,JATO,3.0,BRASIL,REGULAR,CRUZEIRO,VOO REGULAR,NaN,0,2009-08-27 09:53:00
201611081914428,INCIDENTE,INCURSÃO EM PISTA,SALVADOR,BA,SBSV,AVIÃO,JATO,NaN,BRASIL,REGULAR,TÁXI,VOO REGULAR,NaN,0,2016-11-03 23:53:00
200911245405854,INCIDENTE,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,SALVADOR,BA,NaN,AVIÃO,JATO,2.0,BRASIL,REGULAR,CRUZEIRO,VOO REGULAR,NaN,0,2009-11-24 16:43:00
201205178843698,INCIDENTE,COLISÃO COM OBSTÁCULOS NO SOLO,SALVADOR,BA,SBSV,AVIÃO,JATO,2.0,BRASIL,REGULAR,TÁXI,VOO REGULAR,NaN,0,2012-05-17 09:55:00
201308068477546,INCIDENTE,PROBLEMAS FISIOLÓGICOS,SALVADOR,BA,NaN,AVIÃO,JATO,2.0,BRASIL,REGULAR,CRUZEIRO,VOO REGULAR,NaN,0,2013-08-06 04:59:00
201104024819410,INCIDENTE,FALHA DO MOTOR EM VOO,SALVADOR,BA,SBSV,AVIÃO,JATO,2.0,BRASIL,REGULAR,CRUZEIRO,VOO REGULAR,NaN,0,2011-04-02 03:58:00
