codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201303238137104,INCIDENTE GRAVE,COM TREM DE POUSO,FONTE BOA,AM,SWOB,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,0,2013-03-23 14:45:00
201402154288744,ACIDENTE,DESORIENTAÇÃO ESPACIAL,BRAGANÇA,PA,NaN,HELICÓPTERO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,MANOBRA,VOO DE INSTRUÇÃO,2.0,0,2014-02-15 22:00:00
201105144414959,ACIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,BREU BRANCO,PA,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,3.0,7,2011-05-14 14:30:00
201301266659384,INCIDENTE GRAVE,FOGO EM VOO,IPIXUNA,AM,NaN,HELICÓPTERO,TURBOEIXO,2.0,BRASIL,TÁXI AÉREO,APROXIMAÇÃO FINAL,TÁXI AÉREO,NaN,2,2013-01-26 15:00:00
201212225707711,INCIDENTE,PERDA DE COMPONENTE EM VOO,IPIXUNA,AM,NaN,HELICÓPTERO,TURBOEIXO,2.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,NaN,0,2012-12-22 19:10:00
201803161630146,ACIDENTE,OPERAÇÃO A BAIXA ALTITUDE,BREVES,PA,NaN,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,ESPECIALIZADA,MANOBRA,OPERAÇÃO ESPECIALIZADA,NaN,0,2018-03-15 15:00:00
201604271641454,INCIDENTE,ESTOURO DE PNEU,BREVES,PA,SNVS,AVIÃO,TURBOÉLICE,1.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NaN,0,2016-04-27 15:12:00
201404162921836,ACIDENTE,FALHA DO MOTOR EM VOO,IRANDUBA,AM,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2014-04-16 20:40:00
201110187616475,ACIDENTE,PERDA DE COMPONENTE EM VOO,ITACOATIARA,AM,NaN,HELICÓPTERO,TURBOEIXO,2.0,BRASIL,TÁXI AÉREO,PARTIDA DO MOTOR,TÁXI AÉREO,NaN,5,2011-10-18 19:50:00
201205235478849,INCIDENTE GRAVE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,ITAPIRANGA,AM,NaN,HELICÓPTERO,TURBOEIXO,2.0,BRASIL,MÚLTIPLA,APROXIMAÇÃO FINAL,TÁXI AÉREO,NaN,2,2012-05-23 20:20:00
200906268393861,ACIDENTE,FALHA DO MOTOR EM VOO,CAMETÁ,PA,NaN,AVIÃO,PISTÃO,1.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,NaN,2,2009-06-26 17:00:00
201601261835108,INCIDENTE GRAVE,POUSO SEM TREM,CAMETÁ,PA,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,0,2016-01-15 19:00:00
201202166802412,ACIDENTE,FALHA DO MOTOR EM VOO,CAMETÁ,PA,NaN,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,DECOLAGEM,TÁXI AÉREO,4.0,11,2012-02-16 12:30:00
201210223216827,INCIDENTE,FALHA DO MOTOR EM VOO,CAMETÁ,PA,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2012-10-22 18:38:00
201208225156006,ACIDENTE,FALHA DO MOTOR EM VOO,ARAGUAÍNA,TO,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,NaN,0,2012-08-22 13:00:00
201601261557549,INCIDENTE,ESTOURO DE PNEU,ARAGUAÍNA,TO,SWGN,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,ESTACIONAMENTO,VOO REGULAR,NaN,0,2016-01-22 03:44:00
201402198294108,ACIDENTE,FALHA DO MOTOR EM VOO,ARAGUAÍNA,TO,SWGN,AVIÃO,PISTÃO,1.0,BRASIL,TÁXI AÉREO,DECOLAGEM,TÁXI AÉREO,1.0,0,2014-02-19 19:21:00
201712281628072,INCIDENTE,OUTROS,ARAGUAÍNA,TO,SWGN,AVIÃO,JATO,2.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,NaN,0,2017-12-28 06:30:00
201512155909654,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,ARAGUAÍNA,TO,SWGN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,CORRIDA APÓS POUSO,VOO PRIVADO,NaN,0,2015-12-15 13:00:00
200901216079108,INCIDENTE,PERDA DE COMPONENTE EM VOO,ARAGUAÍNA,TO,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,DESCIDA,VOO REGULAR,NaN,0,2009-01-21 17:00:00
201410039144641,INCIDENTE,ESTOURO DE PNEU,ARAGUAÍNA,TO,SWGN,AVIÃO,TURBOÉLICE,2.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,NaN,0,2014-10-03 11:00:00
201008237823514,INCIDENTE,OUTROS,ARAGUAÍNA,TO,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,POUSO,VOO REGULAR,NaN,0,2010-08-23 19:32:00
201402269972570,ACIDENTE,FALHA DO MOTOR EM VOO,ARAGUAÍNA,TO,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,2,2014-02-26 11:15:00
201208218524867,ACIDENTE,FALHA DO MOTOR EM VOO,JURUÁ,AM,NaN,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,NaN,3,2012-08-21 18:50:00
