codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
200804096571909,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,LUCAS DO RIO VERDE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,OUTRA FASE,VOO PRIVADO,NaN,4,2008-04-09 20:15:00
201804091417261,ACIDENTE,VOO CONTROLADO CONTRA O TERRENO,LUCAS DO RIO VERDE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CRUZEIRO,OPERAÇÃO AGRÍCOLA,NaN,0,2018-04-02 11:30:00
201005081565979,ACIDENTE,OUTROS,LUCAS DO RIO VERDE,MT,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,DECOLAGEM,VOO EXPERIMENTAL,NaN,0,2010-05-08 18:30:00
201301056153679,ACIDENTE,PANE SECA,LUCAS DO RIO VERDE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,OPERAÇÃO AGRÍCOLA,1.0,6,2013-01-05 14:30:00
201001042791325,ACIDENTE,OPERAÇÃO A BAIXA ALTITUDE,LUCAS DO RIO VERDE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,NAVEGAÇÃO A BAIXA ALTURA,OPERAÇÃO AGRÍCOLA,NaN,3,2010-01-04 16:30:00
201302101529154,ACIDENTE,PERDA DE CONTROLE NO SOLO,CERES,GO,SWCZ,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,NaN,0,2013-02-10 21:00:00
201302082680615,ACIDENTE,POUSO ANTES DA PISTA,CERES,GO,SWCZ,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,7,2013-02-08 19:15:00
200904269310785,ACIDENTE,POUSO ANTES DA PISTA,VILA BELA DA SANTÍSSIMA TRINDADE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,1,2009-04-26 17:10:00
201003284529368,ACIDENTE,PERDA DE CONTROLE EM VOO,VILA BELA DA SANTÍSSIMA TRINDADE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,OUTRA FASE,VOO PRIVADO,NaN,0,2010-03-28 15:10:00
201303018280094,ACIDENTE,PERDA DE CONTROLE EM VOO,VILA BELA DA SANTÍSSIMA TRINDADE,MT,SSDP,AVIÃO,TURBOÉLICE,1.0,BRASIL,AGRÍCOLA,DECOLAGEM,OPERAÇÃO AGRÍCOLA,NaN,6,2013-03-01 21:20:00
201609271101025,ACIDENTE,INDETERMINADO,MIRANDA,MS,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,INDETERMINADA,VOO PRIVADO,1.0,0,2016-09-19 20:50:00
201209071491366,ACIDENTE,PANE SECA,MIRANDA,MS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2012-09-07 19:10:00
201203154406391,ACIDENTE,PERDA DE CONTROLE NO SOLO,MIRANDA,MS,NaN,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NaN,0,2012-03-15 10:00:00
200810128264441,INCIDENTE GRAVE,COM TREM DE POUSO,MIRANDA,MS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,TÁXI,OPERAÇÃO AGRÍCOLA,NaN,0,2008-10-12 13:00:00
201108202738626,ACIDENTE,PANE SECA,MIRANDA,MS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,DESCIDA,VOO PRIVADO,NaN,0,2011-08-20 20:00:00
201505096526461,ACIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO,MIRASSOL D'OESTE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,CORRIDA APÓS POUSO,OPERAÇÃO AGRÍCOLA,NaN,3,2015-05-09 20:00:00
201705311927338,ACIDENTE,INDETERMINADO,MUNDO NOVO,MS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,INDETERMINADA,VOO PRIVADO,NaN,0,2017-05-28 19:00:00
201207287804829,INCIDENTE,COLISÃO COM OBSTÁCULOS NO SOLO,NAVIRAÍ,MS,SSNB,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,TÁXI,OPERAÇÃO AGRÍCOLA,NaN,0,2012-07-28 19:00:00
201103065193951,ACIDENTE,FALHA DO MOTOR EM VOO,CORUMBÁ DE GOIÁS,GO,NaN,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,PARTICULAR,APROXIMAÇÃO FINAL,VOO PRIVADO,NaN,4,2011-03-06 18:00:00
201307047866137,ACIDENTE,PERDA DE CONTROLE EM VOO,CORUMBÁ DE GOIÁS,GO,NaN,HELICÓPTERO,PISTÃO,1.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,NaN,3,2013-07-04 14:30:00
201605310041339,ACIDENTE,PERDA DE CONTROLE EM VOO,CORUMBAÍBA,GO,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,MANOBRA,VOO PRIVADO,4.0,0,2016-05-29 16:30:00
201803091538233,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,NOBRES,MT,SWVZ,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2018-03-08 14:30:00
201304254474564,ACIDENTE,PERDA DE CONTROLE EM VOO,NOBRES,MT,SWNB,AVIÃO,PISTÃO,1.0,BRASIL,EXPERIMENTAL,DECOLAGEM,VOO EXPERIMENTAL,1.0,0,2013-04-25 09:30:00
201702152003237,INCIDENTE,ESTOURO DE PNEU,NORTELÂNDIA,MT,SWRZ,AVIÃO,JATO,2.0,BRASIL,PARTICULAR,CORRIDA APÓS POUSO,VOO PRIVADO,NaN,0,2017-02-15 12:32:00
201804251751407,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,NOSSA SENHORA DO LIVRAMENTO,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,ESPECIALIZADA,CRUZEIRO,VOO PRIVADO,NaN,0,2018-04-21 15:30:00
201712142055195,ACIDENTE,INDETERMINADO,NOVA BANDEIRANTES,MT,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,CRUZEIRO,VOO PRIVADO,3.0,0,2017-12-09 13:30:00
201406076155292,ACIDENTE,PANE SECA,NOVA ANDRADINA,MS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2014-06-07 11:00:00
200812278190145,ACIDENTE,PERDA DE CONTROLE EM VOO,CRISTALINA,GO,NaN,HELICÓPTERO,PISTÃO,1.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,NaN,3,2008-12-27 12:20:00
201201313768501,ACIDENTE,COM TREM DE POUSO,NOVA BRASILÂNDIA,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CORRIDA APÓS POUSO,VOO PRIVADO,NaN,0,2012-01-31 18:00:00
201602251249174,ACIDENTE,FALHA DO MOTOR EM VOO,NOVA UBIRATÃ,MT,SWPA,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2016-02-18 20:00:00
201207042663547,ACIDENTE,PERDA DE CONTROLE EM VOO,NOVA UBIRATÃ,MT,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,DECOLAGEM,VOO EXPERIMENTAL,2.0,0,2012-07-04 14:35:00
